mode,payload,image,psnr,ssim,elapsed_seconds,run_datetime,device,model_file,seed
histogram_shifting,10000,Barbara.bmp,55.74,0.999962,8.3892,2026-04-06 16:36:21,cpu,model_state.pth,20260406
histogram_shifting,10000,Lena.bmp,55.25,0.999958,5.954,2026-04-06 16:36:21,cpu,model_state.pth,20260406
histogram_shifting,10000,Peppers.bmp,50.95,0.999911,7.4414,2026-04-06 16:36:21,cpu,model_state.pth,20260406
histogram_shifting,10000,yacht.bmp,59.99,0.999989,6.6382,2026-04-06 16:36:21,cpu,model_state.pth,20260406
histogram_shifting,20000,Barbara.bmp,52.15,0.999912,5.7486,2026-04-06 16:36:21,cpu,model_state.pth,20260406
histogram_shifting,20000,Lena.bmp,51.59,0.999903,5.6228,2026-04-06 16:36:21,cpu,model_state.pth,20260406
histogram_shifting,20000,Peppers.bmp,47.31,0.999794,5.5751,2026-04-06 16:36:21,cpu,model_state.pth,20260406
histogram_shifting,20000,yacht.bmp,56.09,0.999973,5.8267,2026-04-06 16:36:21,cpu,model_state.pth,20260406
histogram_shifting,50000,Barbara.bmp,47.23,0.999728,5.9331,2026-04-06 16:36:21,cpu,model_state.pth,20260406
histogram_shifting,50000,Lena.bmp,46.74,0.999704,6.2846,2026-04-06 16:36:21,cpu,model_state.pth,20260406
histogram_shifting,50000,Peppers.bmp,42.35,0.999355,7.7809,2026-04-06 16:36:21,cpu,model_state.pth,20260406
histogram_shifting,50000,yacht.bmp,50.96,0.999914,5.8149,2026-04-06 16:36:21,cpu,model_state.pth,20260406
histogram_shifting,100000,Barbara.bmp,42.88,0.99926,4.7165,2026-04-06 16:36:21,cpu,model_state.pth,20260406
histogram_shifting,100000,Lena.bmp,42.64,0.99924,4.5868,2026-04-06 16:36:21,cpu,model_state.pth,20260406
histogram_shifting,100000,Peppers.bmp,38.19,0.998322,6.0257,2026-04-06 16:36:21,cpu,model_state.pth,20260406
histogram_shifting,100000,yacht.bmp,46.46,0.999757,5.5775,2026-04-06 16:36:21,cpu,model_state.pth,20260406
expansion_embedding,10000,Barbara.bmp,42.02,0.999098,4.3597,2026-04-06 16:36:21,cpu,model_state.pth,20260406
expansion_embedding,10000,Lena.bmp,50.14,0.999864,3.8672,2026-04-06 16:36:21,cpu,model_state.pth,20260406
expansion_embedding,10000,Peppers.bmp,44.69,0.999623,4.9893,2026-04-06 16:36:21,cpu,model_state.pth,20260406
expansion_embedding,10000,yacht.bmp,51.51,0.999924,4.8623,2026-04-06 16:36:21,cpu,model_state.pth,20260406
expansion_embedding,20000,Barbara.bmp,39.99,0.998562,4.4188,2026-04-06 16:36:21,cpu,model_state.pth,20260406
expansion_embedding,20000,Lena.bmp,47.76,0.999765,4.0259,2026-04-06 16:36:21,cpu,model_state.pth,20260406
expansion_embedding,20000,Peppers.bmp,41.72,0.999255,4.9986,2026-04-06 16:36:21,cpu,model_state.pth,20260406
expansion_embedding,20000,yacht.bmp,49.03,0.999865,5.1089,2026-04-06 16:36:21,cpu,model_state.pth,20260406
expansion_embedding,50000,Barbara.bmp,36.83,0.997032,5.0622,2026-04-06 16:36:21,cpu,model_state.pth,20260406
expansion_embedding,50000,Lena.bmp,42.58,0.999228,4.0079,2026-04-06 16:36:21,cpu,model_state.pth,20260406
expansion_embedding,50000,Peppers.bmp,37.5,0.998035,5.1907,2026-04-06 16:36:21,cpu,model_state.pth,20260406
expansion_embedding,50000,yacht.bmp,45.81,0.999717,4.9398,2026-04-06 16:36:21,cpu,model_state.pth,20260406
expansion_embedding,100000,Barbara.bmp,34.47,0.994918,5.2952,2026-04-06 16:36:21,cpu,model_state.pth,20260406
expansion_embedding,100000,Lena.bmp,37.22,0.99736,4.5757,2026-04-06 16:36:21,cpu,model_state.pth,20260406
expansion_embedding,100000,Peppers.bmp,35.18,0.996659,5.3004,2026-04-06 16:36:21,cpu,model_state.pth,20260406
expansion_embedding,100000,yacht.bmp,42.93,0.999452,5.0602,2026-04-06 16:36:21,cpu,model_state.pth,20260406
